account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
106254,,,,,,,,198,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106256,,,,,,,,864,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106257,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106258,,,,,,,,190533,133502,119725,112886,127850,80276,35928,Excluded,Excluded,,,,,,,,,,
106259,,,,,,,,96451,666,1082,2912,1245,2718,1687,1699,555,,,,,,,,,,
106260,,,,,,,,76,Excluded,77,139,68,81,35,Excluded,Excluded,,,,,,,,,,
106262,,,,,,,,2,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106270,,,,,,,,2758,4038,3240,167,Excluded,Excluded,89,Excluded,473,,,,,,,,,,
106271,,,,,,,,3558,5279,4372,4830,2305,2035,2313,2083,270,,,,,,,,,,
106272,,,,,,,,22,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106273,,,,,,,,137,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106275,,,,,,,,140553,3160,2855,2766,1768,1636,1833,1435,833,,,,,,,,,,
106276,,,,,,,,59,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106279,,,,,,,,35,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106282,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106283,,,,,,,,84,56,88,25,62,35,92,101,,,,,,,,,,,
106284,,,,,,,,0,2844,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
