account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100147,1016,1017,1017,37,33,33,33,33,57,51,0,0,0,0,0,0,,,,,,,,,,
100148,3196,3196,3196,553,549,549,549,549,870,724,180,0,0,0,0,0,,,,,,,,,,
100149,4247,4246,4246,57,55,55,55,55,14,12,1,0,0,0,0,0,,,,,,,,,,
100150,7503,7504,7504,388,385,385,385,385,728,606,150,0,350,296,0,0,,,,,,,,,,
100151,1921,1921,1921,1563,1561,1561,1561,1561,2004,1793,794,348,299,253,416,164,,,,,,,,,,
100152,0,0,0,3,0,0,0,0,4,3,0,0,0,0,1,0,,,,,,,,,,
100153,4596,4595,4595,111,107,107,107,107,200,167,42,0,0,0,0,0,,,,,,,,,,
100154,1307,1308,1308,33,30,30,30,30,14,12,1,0,0,0,0,0,,,,,,,,,,
100155,87,88,88,37,33,33,33,33,0,0,0,0,0,0,0,0,,,,,,,,,,
100156,2147,0,0,914,910,910,910,910,2,1,0,0,0,1,1,1,,,,,,,,,,
100157,5650,5651,5651,14196,14194,14194,14194,14194,,,,,,,,,,,,,,,,,,
100158,0,0,0,11,7,7,7,7,27,24,22,5,0,0,0,0,,,,,,,,,,
100159,3918,3917,3917,4265,4262,4262,4262,4262,7696,6887,3051,1335,4598,1942,798,631,,,,,,,,,,
100160,7364,7365,7365,4401,4399,4399,4399,4399,8158,7301,6468,2829,2438,1029,0,0,,,,,,,,,,
100161,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100162,361190,361191,361191,318527,318527,318527,318527,318527,137006,122607,108617,47535,40974,34626,56965,22560,,,,,,,,,,
100163,35,34,34,28,28,28,28,28,16,14,13,6,10,0,0,0,,,,,,,,,,
100164,26,27,27,7,4,4,4,4,31,28,6,5,18,8,7,3,,,,,,,,,,
100165,366,365,365,0,0,0,0,0,204,182,40,0,122,103,84,67,,,,,,,,,,
100166,741926,741927,741927,573213,573213,573213,573213,573213,236850,211958,187772,164352,141667,119718,98477,78001,,,,,,,,,,
100167,8288,8288,8288,16317,16316,16316,16316,16316,11364,10169,9008,7881,6789,5732,4710,3726,,,,,,,,,,
100168,4040,4039,4039,0,0,0,0,0,1213,1086,962,421,725,612,503,398,,,,,,,,,,
100169,576,577,577,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100170,2242,2241,2241,584,581,581,581,581,2641,2363,2093,1832,1578,1332,1094,866,,,,,,,,,,
100171,4880,4881,4881,8145,8145,8145,8145,8145,6411  18666  *****,5738  17127  *****,5082  15173  *****,4446  13280  *****,3830  11447  *****,3234  9674  *****,2657  7957  *****,2102  6303  *****,,,,,,,,,,
100172,1,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100173,376,375,375,347,346,346,346,346,,,,,,,,,,,,,,,,,,
100174,85191,85192,85192,79457,79456,79456,79456,79456,72381,70766,69150,67533,65915,64299,62679,61068,,,,,,,,,,
100175,14476,14475,14475,1033,1033,1033,1033,1033,2248,503,0,0,0,0,0,0,,,,,,,,,,
100176,15664,15664,15664,727,723,723,723,723,1664,1394,70,0,0,0,0,0,,,,,,,,,,
100177,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100178,153409,153409,153409,146449,146448,146448,146448,146448,212519,208827,205094,201320,123393,193654,189754,185841,,,,,,,,,,
100179,106234,106234,106234,94723,115110,109030,109030,109030,252902,248459,243969,239431,234848,230223,225542,220847,,,,,,,,,,
100180,178616,178616,178616,27174,27172,27172,27172,27172,356397,278799,273800,268736,263604,258411,253135,247838,,,,,,,,,,
100181,284873,284874,284874,271643,271643,271643,271643,271643,157280,152980,148701,144455,129258,125362,121486,117661,,,,,,,,,,
100182,1804,1805,1805,,,,,,,,,,,,,,,,,,,,,,,
100183,105412,105412,105412,95551,95550,95550,95550,95550,199788,196218,192610,188970,185296,181590,177842,174086,,,,,,,,,,
100184,86499,86499,86499,,,,,,,,,,,,,,,,,,,,,,,
100185,90941,90940,90940,55311,55310,55310,55310,55310,223084,218914,210117,205115,200115,195120,190119,185147,,,,,,,,,,
100186,1808,1807,1807,2492,2485,2485,2485,2485,19422,18506,13563,11867,10223,8632,7092,5611,,,,,,,,,,
100187,520,0,0,,,,,,,,,,,,,,,,,,,,,,,
100188,55,55,55,15,11,11,11,11,140,127,68,62,55,79,69,57,,,,,,,,,,
100189,6363,6363,6363,3009,3008,3008,3008,3008,2934,2511,378,1128,1674,348,341,334,,,,,,,,,,
100190,4,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100191,208,209,209,53,49,49,49,49,126,114,39,92,82,70,61,25,,,,,,,,,,
100192,14117,14118,14118,11997,11996,11996,11996,11996,9450,8062,2805,1136,1116,1095,1074,1053,,,,,,,,,,
100193,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100194,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100195,28512,28511,28511,23241,23240,23240,23240,23240,0,0,0,0,0,0,0,0,,,,,,,,,,
100196,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100197,20610,20609,20609,18771,18767,18767,18767,18767,9998,9394,8803,8225,0,0,0,0,,,,,,,,,,
100198,13328,13328,13328,13076,13076,13076,13076,13076,13800,12350,5470,0,0,0,0,0,,,,,,,,,,
100199,4387,4387,4387,3158,3155,3155,3155,3155,3427,3067,2717,2376,2047,1729,1421,562,,,,,,,,,,
100200,20241,20240,20240,17637,17637,17637,17637,17637,31686,28356,25116,0,0,0,0,0,,,,,,,,,,
100201,844618,844617,844617,717838,717834,717834,717834,717834,287079,256908,227594,199207,171711,145107,119363,94543,,,,,,,,,,
100202,0,0,0,4,4,4,4,4,,,,,,,,,,,,,,,,,,
100203,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100204,41327,41328,41328,38202,41652,42800,42800,42800,22462,20718,16265,14236,12271,10370,8530,6756,,,,,,,,,,
100205,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,,,,,,,,,,
100206,0,0,0,0,0,0,0,0,22,19,0,0,0,0,0,0,,,,,,,,,,
100207,445,444,444,780,777,777,777,777,1379,1208,552,434,334,134,93,74,,,,,,,,,,
100208,8,9,9,9,8,8,8,8,5,5,1,0,2,0,0,2,,,,,,,,,,
100209,37921,37921,37921,36602,36602,36602,36602,36602,14045,11835,9835,0,0,0,0,0,,,,,,,,,,
100210,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100211,858,857,857,670,669,669,669,669,794,710,157,138,237,100,0,131,,,,,,,,,,
100212,935,935,935,549,546,546,546,546,,,,,,,,,,,,,,,,,,
100213,6,7,7,5,3,3,3,3,,,,,,,,,,,,,,,,,,
100214,91,92,92,589,589,589,589,589,305,273,0,0,0,0,0,0,,,,,,,,,,
100215,3211,3210,3210,3916,3913,3913,3913,3913,5492,4915,0,0,0,0,0,0,,,,,,,,,,
100216,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100217,11062,11061,11061,9214,9211,9211,9211,9211,7027,5989,5304,4641,3998,3376,2774,2195,,,,,,,,,,
100218,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100219,287,286,286,608,607,607,607,607,447,400,355,310,267,113,93,74,,,,,,,,,,
100220,1379,1380,1380,1417,1414,1414,1414,1414,149,133,117,103,88,75,0,0,,,,,,,,,,
100221,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100222,1602,1601,1601,1234,1233,1233,1233,1233,221,197,176,154,132,56,0,0,,,,,,,,,,
100223,0,0,0,189,187,187,187,187,0,0,0,0,0,0,0,0,,,,,,,,,,
100224,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100225,797584,797585,797585,407114,407111,407111,407111,407111,85659,72709,60988,50468,43141,36996,31047,25310,,,,,,,,,,
100226,1272728,1272727,1272727,605477,605477,605477,605477,605477,160102,136261,114818,95719,83085,72606,62454,52654,,,,,,,,,,
100227,126,125,125,168,167,167,167,167,396,355,314,0,119,100,0,0,,,,,,,,,,
100228,43639,43640,43640,33470,33469,33469,33469,33469,16695,14421,12631,11055,9529,8053,6624,5247,,,,,,,,,,
100229,10,9,9,12,8,8,8,8,6,5,5,4,4,3,3,2,,,,,,,,,,
100230,47,48,48,16,14,14,14,14,2,2,2,2,2,0,1,1,,,,,,,,,,
100231,281,280,280,206,203,203,203,203,98,88,39,34,59,25,10,16,,,,,,,,,,
100232,3,4,4,3,0,0,0,0,1,1,0,1,1,0,0,0,,,,,,,,,,
100233,1870,1870,1870,1391,1388,1388,1388,1388,7961,7202,6461,2059,5047,2585,3719,1347,,,,,,,,,,
100234,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100235,859,859,859,528,524,524,524,524,94,65,42,28,27,27,26,26,,,,,,,,,,
100236,1,2,2,0,0,0,0,0,1,5,3,1,1,1,1,1,,,,,,,,,,
100237,3206,3206,3206,2105,2101,2101,2101,2101,7422,6714,3407,3064,4706,4076,2098,1797,,,,,,,,,,
100238,7,8,8,0,0,0,0,0,8,7,7,7,7,7,7,7,,,,,,,,,,
100239,2,1,1,32,32,32,32,32,12,8,5,4,0,0,0,0,,,,,,,,,,
100240,0,0,0,0,0,0,0,0,2,5,1,1,1,1,1,1,,,,,,,,,,
