account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100101,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100102,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100103,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100104,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100105,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100106,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100107,A,A,A,E*,A,A,A,A,A,A,A,A*,A,A,A,,,,,,,,,,,
100108,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,
100109,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100110,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100111,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100112,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100113,A*,B,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100114,A*,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100115,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100116,A*,B,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100117,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100118,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100119,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100120,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100121,A,A,A,A,A,E*,,,,,,,,,,,,,,,,,,,,
100122,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100123,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100124,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100125,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100126,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100127,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100128,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,
100129,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100130,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100131,A,A,A,A,A,A,A,A,A,A,A,A,A,A*,A,,,,,,,,,,,
100132,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100133,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100134,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100135,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100136,A,A,A,E*,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100137,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,,,,,,,,,,,
100138,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100139,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100140,A,A,A,A,A,E*,,,,,,,,,,,,,,,,,,,,
100141,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100142,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100143,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100144,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100145,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100146,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100147,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100148,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
